Pays,Pays_fr,Annee,Population,Densite(P/Km2),Superficie(Km2),Electricite d'origine fossile(TWh),Electricite d'origine nucleaire(TWh),Electricite d'origine renouvelable(TWh),Electricite d'origine fossile / hab(KWh/pers),Electricite d'origine nucleaire / hab(KWh/pers),Electricite d'origine renouvelable / hab(KWh/pers),Part energie renouvelable(%),Part energie fossile(%),Part autres energies(%),Intensite energetique(MJ/$2017 PIB PPA),Emissions CO2(kt),Croissance PIB(%),PIB/habitant($)
Croatia,Croatie,2017,4131362.0,73.0,56594.0,4.67,0.0,7.12,1.1303778269732838,0.0,1.723402597012801,29.79,39.60984,30.600160000000002,3.31,17409.99985,3.41409226,13629.28959
Croatia,Croatie,2018,4131362.0,73.0,56594.0,3.77,0.0,9.78,0.9125319930812164,0.0,2.367258061627134,32.83,27.822875999999994,39.34712400000001,3.13,16430.00031,2.900009599,15227.5601
Croatia,Croatie,2019,4131362.0,73.0,56594.0,4.31,0.0,8.35,1.0432394934164568,0.0,2.0211252366652936,31.6,34.04423,34.35577,3.07,16520.00046,3.481945603,15311.7669
Cyprus,Chypre,2000,1211881.0,131.0,9251.0,3.37,0.0,0.0,2.7808010852550704,0.0,0.0,3.08,96.92,0.0,3.92,7130.0,5.965310315,14388.34806
Cyprus,Chypre,2001,1211881.0,131.0,9251.0,3.55,0.0,0.0,2.929330520075816,0.0,0.0,3.03,96.97,0.0,3.73,6990.0,3.952560541,14821.44682
Cyprus,Chypre,2002,1211881.0,131.0,9251.0,3.79,0.0,0.0,3.127369766503477,0.0,0.0,3.16,96.84,0.0,3.65,7170.000076,3.722956499,16093.21461
Cyprus,Chypre,2003,1211881.0,131.0,9251.0,4.05,0.0,0.0,3.341912283466776,0.0,0.0,3.24,96.76,0.0,3.87,7829.999924,2.623286123,20252.23898
Cyprus,Chypre,2004,1211881.0,131.0,9251.0,4.2,0.0,0.0,3.465686812484064,0.0,0.0,3.29,96.71,0.0,3.46,7780.00021,5.026343926,23792.62136
Cyprus,Chypre,2005,1211881.0,131.0,9251.0,4.38,0.0,0.0,3.61421624730481,0.0,0.0,3.34,96.66,0.0,3.36,7900.000095,4.853003838,24959.25917
Cyprus,Chypre,2006,1211881.0,131.0,9251.0,4.65,0.0,0.0,3.837010399535928,0.0,0.0,3.5,96.5,0.0,3.34,8000.0,4.713828666,26729.3234
Cyprus,Chypre,2007,1211881.0,131.0,9251.0,4.87,0.0,0.0,4.018546375427951,0.0,0.0,4.33,95.67,0.0,3.35,8310.00042,5.098068453,31244.92622
Cyprus,Chypre,2008,1211881.0,131.0,9251.0,5.06,0.0,0.01,4.1753274455165155,0.0,0.0082516352678192,5.47,99.80276135,-5.272761349999997,3.44,8489.999771,3.646811991,35397.36368
Cyprus,Chypre,2009,1211881.0,131.0,9251.0,5.18,0.0,0.03,4.2743470687303455,0.0,0.0247549058034576,6.31,99.42418426,-5.734184260000004,3.44,8279.999733,-2.015262359,32109.24251
Cyprus,Chypre,2010,1211881.0,131.0,9251.0,5.25,0.0,0.08,4.33210851560508,0.0,0.0660130821425536,6.55,98.499062,-5.049061999999995,3.25,7900.000095,2.014695707,31023.63833
Cyprus,Chypre,2011,1211881.0,131.0,9251.0,4.75,0.0,0.17,3.91952675221412,0.0,0.1402777995529264,7.66,96.5447154,-4.204715400000001,3.15,7630.000114,0.401437941,32396.38574
Cyprus,Chypre,2012,1211881.0,131.0,9251.0,4.46,0.0,0.26,3.6802293294473634,0.0,0.2145425169632992,8.69,94.491525,-3.1815249999999953,3.06,7099.999905,-3.446822086,28912.15694
Cyprus,Chypre,2013,1211881.0,131.0,9251.0,3.96,0.0,0.33,3.2676475660564033,0.0,0.2723039638380336,9.83,92.307692,-2.137692000000003,2.83,6429.999828,-6.553078255,27729.1927
Cyprus,Chypre,2014,1211881.0,131.0,9251.0,4.03,0.0,0.31,3.325409012931138,0.0,0.2558006933023952,9.59,92.857143,-2.4471429999999934,2.95,6809.999943,-1.829309109,27163.33297
Cyprus,Chypre,2015,1211881.0,131.0,9251.0,4.14,0.0,0.4,3.4161770008771484,0.0,0.330065410712768,10.51,91.189427,-1.6994269999999947,2.93,6849.999905,3.383079712,23408.33668
Cyprus,Chypre,2016,1211881.0,131.0,9251.0,4.46,0.0,0.43,3.6802293294473634,0.0,0.3548203165162256,10.36,91.206544,-1.5665439999999933,2.94,7219.99979,6.454554466,24605.92083
Cyprus,Chypre,2017,1211881.0,131.0,9251.0,4.57,0.0,0.43,3.7709973173933746,0.0,0.3548203165162256,11.03,91.4,-2.430000000000005,2.88,7360.000134,5.852540355,26608.87509
Cyprus,Chypre,2018,1211881.0,131.0,9251.0,4.58,0.0,0.48,3.7792489526611934,0.0,0.3960784928553216,12.11,90.513834,-2.623834000000002,2.74,7199.999809,5.692841724,29334.11093
Cyprus,Chypre,2019,1211881.0,131.0,9251.0,4.63,0.0,0.52,3.8205071290002897,0.0,0.4290850339265984,12.05,89.902913,-1.9529129999999988,2.67,7190.000057,5.283187396,29206.07672
Czechia,République tchèque,2000,10726456.0,136.0,78871.0,57.03,13.59,2.28,5.316760726935346,1.2669608675969024,0.21255855615312272,5.94,78.230453,15.829547000000002,6.74,123170.0,0.0,0.0
Czechia,République tchèque,2001,10726456.0,136.0,78871.0,56.9,14.75,2.57,5.304641160137141,1.3751046944116492,0.23959451285680938,6.29,76.663973,17.046027000000002,6.71,122720.0,0.0,0.0
Czechia,République tchèque,2002,10726456.0,136.0,78871.0,54.27,18.74,2.99,5.059453001065776,1.7470821676796138,0.2787500363587004,7.28,71.407894,21.312106,6.69,118529.9988,0.0,0.0
Czechia,République tchèque,2003,10726456.0,136.0,78871.0,55.05,25.87,1.87,5.132170401855002,2.4117937928426687,0.17433530702032432,6.72,66.493538,26.786462,6.74,122769.9966,0.0,0.0
Czechia,République tchèque,2004,10726456.0,136.0,78871.0,54.72,26.33,2.74,5.101405347674945,2.4546784138209303,0.2554431771313843,7.13,65.30611999999999,27.563880000000008,6.58,123440.0024,0.0,0.0
Czechia,République tchèque,2005,10726456.0,136.0,78871.0,54.07,24.73,3.13,5.040807513683923,2.305514514766107,0.2918018775259974,7.53,65.99536,26.474639999999994,6.11,119989.9979,0.0,0.0
Czechia,République tchèque,2006,10726456.0,136.0,78871.0,54.09,26.05,3.52,5.042672062422109,2.428574731486336,0.3281605779206105,7.88,64.654556,27.465444,5.85,120599.9985,0.0,0.0
Czechia,République tchèque,2007,10726456.0,136.0,78871.0,58.18,26.17,3.42,5.423972279380999,2.439762023915448,0.31883783422968404,8.32,66.286884,25.393116,5.53,123620.0027,0.0,0.0
Czechia,République tchèque,2008,10726456.0,136.0,78871.0,53.01,26.55,3.72,4.941986430560103,2.475188449940968,0.3468060653024634,8.99,63.652737,27.357262999999996,5.28,118309.9976,0.0,0.0
Czechia,République tchèque,2009,10726456.0,136.0,78871.0,49.77,27.21,4.66,4.639929534974087,2.5367185583010827,0.43443985599717183,10.25,60.962765,28.787235000000003,5.21,111169.9982,0.0,0.0
Czechia,République tchèque,2010,10726456.0,136.0,78871.0,51.33,28.0,5.91,4.785364336552539,2.610368233459402,0.5509741521337523,10.95,60.21821,28.83179,5.39,112250.0,0.0,0.0
Czechia,République tchèque,2011,10726456.0,136.0,78871.0,51.15,28.28,7.24,4.768583397908872,2.6364719157939955,0.6749666432230739,12.16,59.01696,28.823040000000002,5.1,109169.9982,0.0,0.0
Czechia,République tchèque,2012,10726456.0,136.0,78871.0,48.22,30.32,8.07,4.495427007764727,2.826655887088895,0.7523454158577633,12.8,55.674866,31.525133999999998,5.11,106069.9997,0.0,0.0
Czechia,République tchèque,2013,10726456.0,136.0,78871.0,45.89,30.75,9.3,4.2782070797661405,2.8667436849598786,0.8670151632561585,13.95,53.39772,32.652280000000005,5.11,101150.0015,0.0,0.0
Czechia,République tchèque,2014,10726456.0,136.0,78871.0,45.51,30.33,9.17,4.2427806537406205,2.8275881614579874,0.8548955964579541,14.85,53.534878,31.615122,4.85,97510.00214,0.0,0.0
Czechia,République tchèque,2015,10726456.0,136.0,78871.0,46.27,26.84,9.41,4.313633505791661,2.502224406644655,0.8772701813161775,14.84,56.071255,29.088745,4.61,99139.99939,0.0,0.0
Czechia,République tchèque,2016,10726456.0,136.0,78871.0,48.52,24.1,9.39,4.523395238837506,2.2467812295132705,0.8754056325779922,14.77,59.163513,26.066487,4.44,101730.0034,0.0,0.0
Czechia,République tchèque,2017,10726456.0,136.0,78871.0,47.81,28.34,9.63,4.457203758631929,2.6420655620085514,0.8977802174362156,14.46,55.735603,29.804397,4.41,101830.0018,0.0,0.0
Czechia,République tchèque,2018,10726456.0,136.0,78871.0,47.51,29.92,9.43,4.4292355275591495,2.789364912325189,0.8791347300543628,14.72,54.697216,30.582784000000004,4.28,100900.0015,0.0,0.0
Czechia,République tchèque,2019,10726456.0,136.0,78871.0,45.44,30.25,10.08,4.236254733156972,2.8201299665052466,0.9397325640453846,15.85,52.978893,31.171107,4.12,96290.00092,0.0,0.0
Denmark,Danemark,2000,5903878.0,137.0,43094.0,30.43,0.0,5.57,5.154239298305283,0.0,0.9434476796437867,10.73,84.527778,4.742222000000002,2.99,52600.0,3.746862595,30743.54768
Denmark,Danemark,2001,5903878.0,137.0,43094.0,31.87,0.0,5.85,5.398146777423246,0.0,0.9908741339167239,11.12,84.490987,4.389012999999997,3.06,54250.0,0.823152998,30751.65435
Denmark,Danemark,2002,5903878.0,137.0,43094.0,32.49,0.0,6.79,5.503162497599036,0.0,1.1500915161187273,11.86,82.713848,5.426152000000002,3.01,53840.00015,0.466345571,33228.69354
Denmark,Danemark,2003,5903878.0,137.0,43094.0,38.09,0.0,8.07,6.45169158305778,0.0,1.3668981642235831,12.72,82.51733,4.762669999999998,3.17,59229.99954,0.390058556,40458.7774
Denmark,Danemark,2004,5903878.0,137.0,43094.0,30.9,0.0,9.52,5.233847989406285,0.0,1.612499445279865,14.44,76.4473,9.112700000000002,2.99,53729.99954,2.668219267,46511.59833
Denmark,Danemark,2005,5903878.0,137.0,43094.0,26.43,0.0,9.8,4.476718522977609,0.0,1.6599258995528023,16.12,72.950594,10.929406000000004,2.83,50200.00076,2.336641308,48799.8256
Denmark,Danemark,2006,5903878.0,137.0,43094.0,36.41,0.0,9.2,6.167132857420157,0.0,1.5582977832536513,15.26,79.828985,4.911014999999997,2.93,58130.00107,3.913007978,52026.99951
